experiment	cell	reads	length	unique	multimap	nomap	exonic	intronic	intergenic	rpkm1	max-correlation
SS2_15_0048	A1	706406	43	55.6	11.2	33.1	53.0	10.4	36.6	4942	0.58
SS2_15_0048	A10	668437	43	55.5	12.1	32.5	50.5	11.4	38.0	4221	0.56
SS2_15_0048	A11	634831	43	52.8	10.5	36.7	48.0	20.7	31.3	4100	0.55
SS2_15_0048	A12	578571	43	58.2	10.5	31.3	49.9	15.4	34.7	4876	0.59
SS2_15_0048	A13	630882	43	56.1	11.7	32.2	51.3	11.7	37.1	4648	0.57
SS2_15_0048	A14	643534	43	51.2	11.2	37.7	51.1	11.7	37.2	3740	0.55
SS2_15_0048	A15	577922	43	62.6	15.7	21.6	51.8	13.9	34.3	6160	0.64
SS2_15_0048	A16	590715	43	55.6	10.4	34.0	52.4	16.8	30.8	4242	0.55
SS2_15_0048	A17	346892	43	40.1	11.4	48.5	37.7	19.3	43.0	3118	0.49
SS2_15_0048	A18	615062	43	51.7	10.2	38.1	52.2	11.1	36.7	3865	0.53
SS2_15_0048	A19	708493	43	68.2	13.0	18.9	54.3	12.2	33.5	6591	0.68
SS2_15_0048	A2	596724	43	64.1	10.9	25.0	56.5	11.1	32.4	5505	0.64
SS2_15_0048	A20	554046	43	52.9	11.5	35.6	52.3	10.8	36.9	4303	0.57
SS2_15_0048	A21	621131	43	60.8	10.2	29.0	55.9	15.8	28.3	5101	0.61
SS2_15_0048	A22	610330	43	51.6	10.0	38.4	50.9	12.7	36.4	4122	0.53
SS2_15_0048	A23	397293	43	13.3	5.5	81.2	8.6	26.0	65.4	1267	0.31
SS2_15_0048	A24	682842	43	65.2	13.4	21.4	53.1	12.1	34.8	6219	0.67
SS2_15_0048	A3	587619	43	35.3	8.9	55.8	39.4	16.4	44.2	3038	0.48
SS2_15_0048	A4	334808	43	57.5	11.8	30.7	47.4	17.1	35.5	4975	0.60
SS2_15_0048	A5	563267	43	48.4	9.9	41.6	50.6	17.8	31.6	3666	0.51
SS2_15_0048	A6	452783	43	41.3	8.6	50.1	47.0	22.1	30.9	3019	0.48
SS2_15_0048	A7	764699	43	56.8	12.9	30.3	50.1	16.3	33.6	4854	0.60
SS2_15_0048	A8	272112	43	51.1	8.6	40.3	52.5	10.3	37.2	2182	0.46
SS2_15_0048	A9	515253	43	54.5	15.0	30.5	47.7	12.1	40.2	4539	0.59
SS2_15_0048	B1	515424	43	62.4	12.8	24.8	54.8	13.9	31.3	5017	0.60
SS2_15_0048	B10	483420	43	57.7	13.9	28.4	51.4	14.8	33.8	4486	0.58
SS2_15_0048	B11	431481	43	45.5	13.8	40.7	32.2	32.0	35.9	3416	0.48
SS2_15_0048	B12	465295	43	66.1	11.6	22.4	55.9	10.8	33.3	5872	0.66
SS2_15_0048	B13	585070	43	53.9	12.9	33.2	42.2	24.3	33.5	4068	0.53
SS2_15_0048	B14	354979	43	62.5	15.9	21.6	50.8	11.6	37.6	5676	0.64
SS2_15_0048	B15	253837	43	48.8	10.3	40.9	49.8	17.9	32.3	3443	0.51
SS2_15_0048	B16	519816	43	65.1	12.2	22.8	54.5	14.4	31.1	5543	0.64
SS2_15_0048	B17	354340	43	53.0	10.2	36.8	53.6	16.2	30.1	3734	0.51
SS2_15_0048	B18	422353	43	50.9	10.4	38.7	51.1	16.7	32.2	4087	0.55
SS2_15_0048	B19	504061	43	45.8	10.5	43.7	45.5	14.8	39.7	3553	0.51
SS2_15_0048	B2	371445	43	51.0	10.2	38.8	51.3	11.5	37.1	3363	0.50
SS2_15_0048	B20	272787	43	38.1	10.8	51.1	39.0	26.0	35.0	3355	0.49
